[0] reg4 = 103548; prev reg4 = -1
[1] reg4 = 4054948; prev reg4 = 103548
[2] reg4 = 8744419; prev reg4 = 4054948
[3] reg4 = 13555206; prev reg4 = 8744419
[4] reg4 = 8399150; prev reg4 = 13555206
[5] reg4 = 16404615; prev reg4 = 8399150
[6] reg4 = 917647; prev reg4 = 16404615
[7] reg4 = 13023923; prev reg4 = 917647
[8] reg4 = 2143665; prev reg4 = 13023923
[9] reg4 = 3671052; prev reg4 = 2143665
[10] reg4 = 13910700; prev reg4 = 3671052
[11] reg4 = 13335694; prev reg4 = 13910700
[12] reg4 = 2112144; prev reg4 = 13335694
[13] reg4 = 13520502; prev reg4 = 2112144
[14] reg4 = 14621494; prev reg4 = 13520502
[15] reg4 = 11506251; prev reg4 = 14621494
[16] reg4 = 5154057; prev reg4 = 11506251
[17] reg4 = 11895614; prev reg4 = 5154057
[18] reg4 = 7165053; prev reg4 = 11895614
[19] reg4 = 11445979; prev reg4 = 7165053
[20] reg4 = 15387181; prev reg4 = 11445979
[21] reg4 = 3784923; prev reg4 = 15387181
[22] reg4 = 6580645; prev reg4 = 3784923
[23] reg4 = 2179496; prev reg4 = 6580645
[24] reg4 = 2820429; prev reg4 = 2179496
[25] reg4 = 3812738; prev reg4 = 2820429
[26] reg4 = 11289445; prev reg4 = 3812738
[27] reg4 = 2239370; prev reg4 = 11289445
[28] reg4 = 720515; prev reg4 = 2239370
[29] reg4 = 14357681; prev reg4 = 720515
[30] reg4 = 1660273; prev reg4 = 14357681
[31] reg4 = 16244372; prev reg4 = 1660273
[32] reg4 = 1748408; prev reg4 = 16244372
[33] reg4 = 9694215; prev reg4 = 1748408
[34] reg4 = 14216275; prev reg4 = 9694215
[35] reg4 = 9484345; prev reg4 = 14216275
[36] reg4 = 15295519; prev reg4 = 9484345
[37] reg4 = 14851013; prev reg4 = 15295519
[38] reg4 = 7079636; prev reg4 = 14851013
[39] reg4 = 8696498; prev reg4 = 7079636
[40] reg4 = 1664512; prev reg4 = 8696498
[41] reg4 = 2804794; prev reg4 = 1664512
[42] reg4 = 6809156; prev reg4 = 2804794
[43] reg4 = 12918112; prev reg4 = 6809156
[44] reg4 = 1153149; prev reg4 = 12918112
[45] reg4 = 11722123; prev reg4 = 1153149
[46] reg4 = 13798312; prev reg4 = 11722123
[47] reg4 = 5164845; prev reg4 = 13798312
[48] reg4 = 13955396; prev reg4 = 5164845
[49] reg4 = 8116045; prev reg4 = 13955396
[50] reg4 = 6082512; prev reg4 = 8116045
[51] reg4 = 16469495; prev reg4 = 6082512
[52] reg4 = 10902708; prev reg4 = 16469495
[53] reg4 = 11822262; prev reg4 = 10902708
[54] reg4 = 9193214; prev reg4 = 11822262
[55] reg4 = 7451632; prev reg4 = 9193214
[56] reg4 = 698487; prev reg4 = 7451632
[57] reg4 = 1037991; prev reg4 = 698487
[58] reg4 = 13478177; prev reg4 = 1037991
[59] reg4 = 583828; prev reg4 = 13478177
[60] reg4 = 10188664; prev reg4 = 583828
[61] reg4 = 5044673; prev reg4 = 10188664
[62] reg4 = 1228996; prev reg4 = 5044673
[63] reg4 = 13527118; prev reg4 = 1228996
[64] reg4 = 849160; prev reg4 = 13527118
[65] reg4 = 15672101; prev reg4 = 849160
[66] reg4 = 2956608; prev reg4 = 15672101
[67] reg4 = 14497429; prev reg4 = 2956608
[68] reg4 = 4430789; prev reg4 = 14497429
[69] reg4 = 13313012; prev reg4 = 4430789
[70] reg4 = 16191825; prev reg4 = 13313012
[71] reg4 = 14341594; prev reg4 = 16191825
[72] reg4 = 12233781; prev reg4 = 14341594
[73] reg4 = 14683573; prev reg4 = 12233781
[74] reg4 = 4897840; prev reg4 = 14683573
[75] reg4 = 14109910; prev reg4 = 4897840
