../.. .#./.#./###
#./.. .#./.#./##.
##/.. #../.##/.#.
.#/#. #.#/#../..#
##/#. ###/##./#.#
##/## .../.../.#.
.../.../... #.#./.###/..##/#.##
#../.../... #.#./#.##/#..#/#..#
.#./.../... #.#./###./#.#./..#.
##./.../... ##../###./##.#/...#
#.#/.../... ..../..#./####/..#.
###/.../... ##../..../#.../#...
.#./#../... .#../..##/#..#/.#.#
##./#../... ####/.###/.###/.###
..#/#../... .#.#/.##./...#/##..
#.#/#../... #.##/#.##/#.##/.#..
.##/#../... .#../...#/..#./.##.
###/#../... .##./.###/#..#/##.#
.../.#./... .#../.#.#/.#../#.##
#../.#./... ...#/##../####/##..
.#./.#./... ###./#..#/..#./...#
##./.#./... #.##/..#./#.#./..#.
#.#/.#./... .#.#/...#/..../#.##
###/.#./... ..##/##.#/#.##/###.
.#./##./... .##./####/##../####
##./##./... .###/..../####/#...
..#/##./... ..../##.#/.###/.##.
#.#/##./... #.#./###./..../###.
.##/##./... ###./.###/.#../##.#
###/##./... #.##/#.#./..../##.#
.../#.#/... ###./#.##/.###/#.##
#../#.#/... ##.#/..../..../.#.#
.#./#.#/... .#.#/..##/.#../.##.
##./#.#/... .##./..#./...#/#...
#.#/#.#/... ..../###./..#./.#.#
###/#.#/... ..##/.##./###./#.##
.../###/... .#../####/.##./..#.
#../###/... ..##/#.#./...#/##..
.#./###/... ..#./####/##../#.##
##./###/... .##./##.#/####/.#.#
#.#/###/... .###/#.##/####/.##.
###/###/... #.../#.../##../.##.
..#/.../#.. ..##/#.#./#.../#.#.
#.#/.../#.. ###./##.#/..#./##.#
.##/.../#.. ..#./..../##../.#.#
###/.../#.. ####/.#.#/.#.#/####
.##/#../#.. ####/####/...#/.#.#
###/#../#.. ..##/..#./.##./##..
..#/.#./#.. ####/...#/####/#..#
#.#/.#./#.. ..#./.###/#.#./##.#
.##/.#./#.. .###/.#.#/#..#/..#.
###/.#./#.. ..../##../.#.#/.#..
.##/##./#.. ###./####/..../#...
###/##./#.. ####/#..#/##.#/##.#
#../..#/#.. ####/##.#/..../.###
.#./..#/#.. ..../.#../..#./..#.
##./..#/#.. .#.#/...#/#.##/..#.
#.#/..#/#.. #.#./#.##/#..#/####
.##/..#/#.. ..#./##../####/.#..
###/..#/#.. #.../##.#/###./.#.#
#../#.#/#.. ..../.#.#/..#./#.#.
.#./#.#/#.. #.##/...#/.##./.#..
##./#.#/#.. .###/##.#/##.#/####
..#/#.#/#.. ..../..../...#/##.#
#.#/#.#/#.. ##.#/.#../###./..#.
.##/#.#/#.. ###./..../...#/.##.
###/#.#/#.. .###/#..#/.##./.###
#../.##/#.. ##../.#.#/.##./.##.
.#./.##/#.. .###/.###/..##/.#..
##./.##/#.. ..##/###./...#/#...
#.#/.##/#.. ..#./###./...#/##..
.##/.##/#.. ####/###./#.#./##..
###/.##/#.. ..##/.##./#.../..##
#../###/#.. ####/.#../.###/.#.#
.#./###/#.. .##./##.#/..##/##..
##./###/#.. ..##/##.#/##../.#.#
..#/###/#.. ##../..../.#.#/#..#
#.#/###/#.. ..#./###./####/..##
.##/###/#.. ##../##../..##/.##.
###/###/#.. ###./...#/#..#/..#.
.#./#.#/.#. ..../.###/.###/#...
##./#.#/.#. .###/..#./..../#...
#.#/#.#/.#. #..#/.##./#.##/..#.
###/#.#/.#. ####/##../####/....
.#./###/.#. ..../.###/..../###.
##./###/.#. ###./.#../#.#./.#..
#.#/###/.#. ..../..##/..##/....
###/###/.#. ###./...#/#.../..#.
#.#/..#/##. ###./.##./.#../....
###/..#/##. ####/...#/##../#..#
.##/#.#/##. ..../...#/##.#/#.##
###/#.#/##. .#.#/.###/..../#...
#.#/.##/##. .#.#/#.#./...#/#...
###/.##/##. .##./...#/#.../..#.
.##/###/##. .#.#/.##./.##./##..
###/###/##. #.#./##../##../...#
#.#/.../#.# #.#./##.#/##.#/####
###/.../#.# .#../.#.#/.##./#.##
###/#../#.# ###./##../..##/##..
#.#/.#./#.# ####/#.#./###./.##.
###/.#./#.# ..#./.##./..../#...
###/##./#.# #..#/##.#/.##./.#..
#.#/#.#/#.# .#../###./##.#/.#..
###/#.#/#.# .#../#.##/##.#/..#.
#.#/###/#.# ##.#/.###/..##/.#..
###/###/#.# .#../.###/..#./#...
###/#.#/### ###./####/.###/#.##
###/###/### #..#/.#../#.../...#
